RowID,BirthYear,IssueYear,ExpirationYear,Height,HairColor,EyeColor,PassportID,CountryID
0,1971,2017,2020,160cm,,hzl,157096267,
1,1966,2013,2020,183cm,,oth,368895060,
2,2004,2014,1983,70cm,1f7352,lzr,192cm,279
3,1938,2018,2024,172cm,#602927,blu,839621424,
4,2011,2012,1933,155in,#6b5442,#12f268,189cm,
5,1954,2019,2028,151cm,,gry,664227667,
6,1931,2017,2028,67in,#fffffd,gry,459927933,
7,1969,2019,2030,163cm,#a97842,amb,472877556,322
8,2000,2014,2022,180cm,#733820,brn,751634349,320
9,2029,2010,2028,191cm,#866857,blu,170cm,123
10,1921,2012,2030,161cm,#4dd6d4,grn,258660154,217
11,1978,2010,2022,170cm,#602927,blu,399347273,109
12,1980,2020,2025,183cm,#18171d,gry,172106685,289
13,2017,2003,,85,z,#254ad9,169290741,77
14,1987,2010,,155cm,#fffffd,oth,,
15,1955,2014,2025,187cm,#623a2f,brn,008305281,74
16,1960,2016,2027,167cm,#623a2f,grn,428624233,
17,1957,2018,2027,171cm,#ceb3a1,oth,358876826,314
18,,2011,2030,73in,#602927,grn,,
19,2029,2020,2037,76in,9574d2,#95d926,2703176,
20,1949,2014,2020,164cm,#fffffd,,591281293,136
21,1988,2015,2025,73in,#6b5442,brn,899417027,268
22,1995,2020,2028,177cm,#b6652a,hzl,594197202,
23,1930,2010,2020,179cm,#a97842,brn,010268954,
24,2006,2022,2034,168in,#a97842,#a8f84c,93390086,321
25,1935,2016,2028,174cm,#6b5442,blu,187679418,
26,1930,2019,2025,164cm,#888785,oth,704379775,
27,1962,2018,1944,171cm,#6b5442,hzl,675364934,168
28,,1928,2039,166cm,z,zzz,26281402,144
29,1945,2014,2022,64in,#7d3b0c,hzl,011589584,
30,1950,2010,2028,176cm,#18171d,grn,685748669,
31,1989,2020,2020,163cm,#18171d,grn,721397788,308
32,2019,1999,2027,69in,z,zzz,443496560,108
33,2018,2027,2011,64,z,#574df9,#c9d804,
34,1994,1926,2026,69cm,fdcce6,#28b358,76404593,
35,1935,,2020,165cm,#efcc98,hzl,978839539,121
36,1951,2012,2029,186cm,#fffffd,amb,812513486,
37,1924,2027,2023,168in,fcdd61,grt,8474140699,
38,1965,2019,2040,166cm,#866857,oth,533941934,
39,2028,2009,2032,131,z,gmt,0795438812,
40,1923,2019,2025,167cm,#341e13,amb,222102208,102
41,1956,2014,2022,180cm,#888785,oth,,175
42,1991,2019,2022,164cm,#cfa07d,brn,002875069,216
43,1933,2014,2029,185cm,#341e13,blu,537809907,
44,1977,2012,2020,166cm,#59eb12,oth,541909675,286
45,1921,2019,2027,75in,#18171d,blu,440820443,329
46,1972,2010,2029,177cm,#733820,amb,085529831,
47,1981,2018,2026,66in,#b6652a,#698ae8,704125918,141
48,1943,2020,2022,191cm,#7d3b0c,blu,969407635,
49,1986,2023,2012,161cm,#ceb3a1,lzr,10899196,
50,2028,2030,2020,164cm,#7d3b0c,utc,#f8c441,
51,2003,2012,2030,187in,z,gry,150cm,
52,1948,2012,2029,155cm,#6b5442,brn,427618420,
53,2025,,2021,81,z,oth,174cm,66
54,2027,1939,1923,110,#888785,lzr,,54
55,1961,2019,2022,163cm,#341e13,amb,,137
56,2005,2020,2016,139,#866857,amb,181cm,181
57,2030,2014,2021,179cm,#733820,amb,7938817872,74
58,2024,2019,2023,72cm,91a6dd,gmt,8440093771,
59,1963,2030,2022,74,#b6652a,grn,193189388,60
60,2012,2023,1951,69cm,z,gmt,403849590,90
61,1976,2010,2027,185cm,#341e13,amb,011326174,207
62,1944,2017,2024,64in,#3be285,gry,499837104,
63,2004,2022,2032,172,deddda,brn,#850d4e,244
64,,2020,2010,74cm,a3346d,amb,#505713,
65,1987,2012,2023,,#a97842,oth,131199420,112
66,2000,2018,2022,160cm,#a97842,oth,637777693,256
67,1949,2020,2025,152cm,#866857,grn,495224989,164
68,1986,2010,2020,,,blu,304077824,288
